action_time,action_type,actor_id,actor_type,address_zipcode,amt,business_desc,call_nbr,card_level,card_type,channel_id,channel_type,currency_code,detail_desc,machine_bank_code,merchant_category_code,object_id,object_type,original_currency_code,partition_time,target_acct_nbr,target_bank_code,theme,trans_type,txn_amt,txn_fee_amt,type_desc,customer_id,birth_time,gender,contact_loc,contact_code,register_loc,register_code,start_time,aum,net_profit,credit_card_flag,loan_flag,deposit_flag,wealth_flag,partition_time
3698402823,purchase_consumption,13,customer_id,,,,,4,C,VAIONOTCYVHUWKEOXVVO,credit_card,,,,03635,XBQCBRYBMKOUQWTEELMN,merchant_nbr,TWD,3696969600,,,cc_txn,,2009.41062896,,,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3698995758,cash_advance,13,customer_id,,,,,2,A,WTTIHYHIUMDHHOEKZYVR,credit_card,,,,05462,NNHJHIYHGHJCTJHQRJLF,merchant_nbr,TWD,3696969600,,,cc_txn,,7.08396558514,,,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3699165471,purchase_consumption,13,customer_id,,,,,4,E,AFCARWUTMFOCJZSZLVQI,credit_card,,,,09311,KOKKZADUAAGWJNVQHSWV,merchant_nbr,TWD,3696969600,,,cc_txn,,2626.6454302,,,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3699541736,purchase_consumption,13,customer_id,,,,,3,C,ACWEDMGXWNDUPGTHZDFG,credit_card,,,,05261,KYHIBWVYBHSIYZFGUDDS,merchant_nbr,TWD,3696969600,,,cc_txn,,1552.10614996,,,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3697332663,inquire,13,customer_id,551307.0,,,,,,JQWMLMBYAVZZXCBKWRPG,ATM,,,C_bank,,CKIVZYLXVSCMPCUUPAQJ,saving_acct,,3696969600,TLCVTZAAEHLLDYAHDLKN,Cathay,atm,trans_out,0.0,0.0,,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3697440777,withdraw,13,customer_id,256543.0,,,,,,UBPCUXYCRUHZYWNYQTKG,ATM,,,Cathay,,LGOYAKVVLQXGPZUAEEVY,saving_acct,,3696969600,ZPYYIYSDYAMPVLOVFJSH,Cathay,atm,trans_out,916.484093297,15.0,,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3697129255,inbound,13,customer_id,,,0,NJGTLKWKMTWFRJCNYFFS,,,personal_phone_service,customer_service,,154,,,0_27_154,call_purpose,,3696969600,,,cti,,,,27,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3697357747,inbound,13,customer_id,,,0,VROLIFHVJOKMKXLVKBRN,,,personal_phone_service,customer_service,,125,,,0_28_125,call_purpose,,3696969600,,,cti,,,,28,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3697560645,TWD_demand_deposit,13,customer_id,,1244.12264732,,,,,MyBank,digital,TWD,,,,QZMDVZNRNBKVOXZKMXYK,credit_card_payment,,3696969600,,,mybank,,,,,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
3698841896,fund,13,customer_id,,199.153020569,,,,,MMB,digital,USD,,,,BWVYBHSIYZFGUDDSACWE,general_purchase,,3696969600,,,mybank,,,,,13,1083060338,F,I,292141,F,606063,3667420800,173.028964744,168.625836052,Y,Y,Y,Y,3696969600
